date,xlk_adj_close,xlf_adj_close,spy_adj_close,xlk_normalized,xlf_normalized,spy_normalized,us_ratio,ma20,slope20,ma20_slope,state20,bull_turn20,bear_turn20,cross_on20,cross_off20,ma60,slope60,ma60_slope,state60,bull_turn60,bear_turn60,cross_on60,cross_off60,ma120,slope120,ma120_slope,state120,bull_turn120,bear_turn120,cross_on120,cross_off120,ma240,slope240,ma240_slope,state240,bull_turn240,bear_turn240,cross_on240,cross_off240
1999-03-18,13.51750373840332,12.436753273010254,81.98725128173828,113.5056648609016,111.79623495032006,109.58049913212412,1.0152905856922747,1.0199987953555631,-0.0015254833246984845,-0.0015254833246984845,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-19,13.192334175109863,12.200641632080078,80.59368133544922,110.7752356197914,109.6737845081118,107.71791576821649,1.0100429753255948,1.0179043982573392,-0.002094397098223899,-0.002094397098223899,Risk Off,False,False,False,False,1.0606192416342723,,,Risk Off,False,True,False,True,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-22,13.192334175109863,12.230541229248049,80.74905395507812,110.7752356197914,109.94255741986234,107.92557987384544,1.0075737568733198,1.0153522510009858,-0.002552147256353443,-0.002552147256353443,Risk Off,False,False,False,False,1.0607454709154944,0.00012622928122207888,0.00012622928122207888,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-23,12.809110641479492,11.811893463134766,78.41861724853516,107.55733068579968,106.1792565812586,104.81082223157183,1.0129787507363683,1.0130497858279042,-0.002302465173081636,-0.002302465173081636,Risk Off,False,False,False,False,1.060811574291385,6.610337589063597e-05,6.610337589063597e-05,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-24,13.058788299560549,11.781990051269531,78.86528015136719,109.6538589449996,105.91044937850124,105.40781192290744,1.0353450446907295,1.011587807074818,-0.0014619787530860684,-0.0014619787530860684,Risk On,True,False,True,False,1.0614244403966695,0.0006128661052844375,0.0006128661052844375,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-25,13.366538047790527,12.051122665405272,80.4771499633789,112.23801504805128,108.32973134882134,107.56216513971772,1.0360776644654022,1.009669358059764,-0.0019184490150541134,-0.0019184490150541134,Risk On,False,False,False,False,1.06177982726334,0.0003553868666705817,0.0003553868666705817,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-26,13.296857833862305,11.946459770202637,79.89453887939453,111.65291448787144,107.38889756641868,106.78347317987227,1.0397063105971036,1.010498517048076,0.0008291589883120398,0.0008291589883120398,Risk On,False,False,False,False,1.0623258586194126,0.0005460313560725627,0.0005460313560725627,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-29,13.796216011047363,12.215587615966797,81.5064697265625,115.84599503010868,109.8081366729802,108.93790797354708,1.0549855278494509,1.0125226354877248,0.002024118439648781,0.002024118439648781,Risk On,False,False,False,False,1.0631241016175728,0.0007982429981601147,0.0007982429981601147,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-30,13.772990226745604,12.073545455932615,81.07918548583984,115.65096951799454,108.5312938871308,108.36681893668228,1.065600209634172,1.016559845031839,0.004037209544114129,0.004037209544114129,Risk On,False,False,False,False,1.064007260732407,0.0008831591148341644,0.0008831591148341644,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-03-31,13.598785400390623,11.931509017944336,79.77803802490234,114.18818208178882,107.2545025377917,106.62776333980575,1.064646978727574,1.019223811435181,0.0026639664033420996,0.0026639664033420996,Risk On,False,False,False,False,1.064680548679837,0.0006732879474300457,0.0006732879474300457,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-04-01,13.813640594482422,11.96141242980957,80.38003540039062,115.99230820789622,107.5233097405491,107.43236615123004,1.078764302250206,1.0232073585900137,0.003983547154832623,0.003983547154832623,Risk On,False,False,False,False,1.065314543153961,0.0006339944741240444,0.0006339944741240444,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-04-05,14.289759635925291,12.200641632080078,82.28323364257812,119.99025112677803,109.6737845081118,109.97609593928723,1.0940650189554022,1.0280667827868604,0.004859424196846707,0.004859424196846707,Risk On,False,False,False,False,1.0662398078045412,0.000925264650580182,0.000925264650580182,Risk On,True,False,True,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-04-06,14.411705017089844,12.110929489135742,82.08904266357422,121.0142191488082,108.86734575433614,109.7165489478522,1.111574993496048,1.032014230843817,0.003947448056956571,0.003947448056956571,Risk On,False,False,False,False,1.0677723488045106,0.0015325409999693562,0.0015325409999693562,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-04-07,14.376860618591309,12.439871788024902,82.74925994873047,120.72163283296216,111.8242678484262,110.59896589087748,1.0795656001664686,1.0353131639121194,0.003298933068302423,0.003298933068302423,Risk On,False,False,False,False,1.068809507810555,0.001037159006044508,0.001037159006044508,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-04-08,14.516217231750488,12.664140701293944,83.79802703857422,121.89180192153864,113.84026185984476,112.00070115315016,1.0707266474106196,1.0390904796442544,0.0037773157321350226,0.0037773157321350226,Risk On,False,False,False,False,1.069270809828382,0.0004613020178270144,0.0004613020178270144,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-04-09,14.49299144744873,12.634234428405762,83.81745147705078,121.69677640942449,113.5714289388322,112.02666299026932,1.0715439397611917,1.043236125052093,0.004145645407838572,0.004145645407838572,Risk On,False,False,False,False,1.0697291645693583,0.000458354740976219,0.000458354740976219,Risk On,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-04-12,14.27234935760498,12.858515739440918,84.71074676513672,119.84405806817756,115.58753439602307,113.22060158450822,1.036825110029347,1.0461724500637797,0.0029363250116867246,0.0029363250116867246,Risk On,False,False,False,False,1.069386118657762,-0.0003430459115962847,-0.0003430459115962847,Risk Off,False,True,False,True,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-04-13,14.051698684692385,12.843571662902832,84.16695404052734,117.9912676554184,115.45319937665808,112.49379251046886,1.0219835248608404,1.0477282603477545,0.001555810283974779,0.001555810283974779,Risk Off,False,True,False,True,1.0685875832893608,-0.0007985353684012431,-0.0007985353684012431,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-04-14,13.703309059143066,12.679097175598145,82.74925994873047,115.0658609498689,113.97470832498205,110.59896589087748,1.0095736382301204,1.047077439001536,-0.0006508213462184109,-0.0006508213462184109,Risk Off,False,False,False,False,1.0675643347670196,-0.001023248522341147,-0.001023248522341147,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-04-15,13.819443702697754,12.559476852416992,82.43856811523438,116.0410365581144,112.8994195046904,110.18370905937591,1.0278266891646284,1.047234863445843,0.0001574244443069972,0.0001574244443069972,Risk Off,False,False,False,False,1.066129641704817,-0.0014346930622026743,-0.0014346930622026743,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-04-16,13.44782829284668,12.499675750732422,81.73948669433594,112.92060434045077,112.36185653568587,109.24934804789623,1.0049727534057558,1.046718971831517,-0.0005158916143259695,-0.0005158916143259695,Risk Off,False,False,False,False,1.0642807838427724,-0.001848857862044584,-0.001848857862044584,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-04-19,12.797503471374512,12.499675750732422,80.4771499633789,107.45986597741744,112.36185653568587,107.56216513971772,0.9563731793919622,1.0440354820348356,-0.0026834897966814264,-0.0026834897966814264,Risk Off,False,False,False,False,1.061773344299751,-0.0025074395430213503,-0.0025074395430213503,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
1999-04-20,13.12265968322754,12.664140701293944,81.48699951171875,110.19018310728636,113.84026185984476,108.91188495377958,0.9679368380489828,1.0420536360936186,-0.0019818459412170863,-0.0019818459412170863,Risk Off,False,False,False,False,1.0596619419433126,-0.0021114023564383633,-0.0021114023564383633,Risk Off,False,False,False,False,,,,Neutral,False,False,False,False,,,,Neutral,False,False,False,False
